"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","RF","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"114",0.0625,0.03125,0.03125,0.125,0.09375,0,0.0625,0.0625,0.125,0.1875,0.0625,0.09375
"115",0.09375,0.09375,0.125,0.03125,0.0625,0.125,0.125,0.1875,0.1875,0.09375,0.09375,0.0625
"116",0.0625,0.09375,0.03125,0.0625,0.03125,0.15625,0.0625,0.03125,0.15625,0.09375,0.09375,0.125
"117",0.15625,0.125,0.28125,0.09375,0.03125,0.15625,0.09375,0.0625,0.1875,0.0625,0.09375,0.09375
"118",0.125,0.15625,0.21875,0.28125,0.0625,0.09375,0.09375,0.0625,0.3125,0.0625,0.0625,0.09375
"119",0.25,0.125,0.125,0.0625,0.15625,0.125,0.25,0.15625,0.1875,0.0625,0.09375,0.0625
"120",0.375,0.1875,0.15625,0.21875,0.1875,0.03125,0.03125,0.1875,0.125,0.15625,0.09375,0.03125
"121",0.21875,0.0625,0.25,0.1875,0.03125,0.0625,0.0625,0,0.25,0,0.0625,0.0625
"122",0.25,0.09375,0.15625,0.125,0.15625,0.21875,0.03125,0.03125,0.375,0.125,0.125,0.0625
"123",0.1875,0.15625,0.15625,0.1875,0.0625,0.125,0.15625,0.09375,0.125,0,0.125,0
"124",0.125,0.09375,0.0625,0.03125,0.125,0.15625,0.28125,0.0625,0.15625,0.0625,0.03125,0.09375
"125",0.09375,0.15625,0.1875,0.15625,0.09375,0.0625,0.03125,0,0.15625,0.125,0.09375,0.125
"126",0.21875,0.21875,0.125,0.15625,0.03125,0.09375,0.125,0.0625,0.28125,0.0625,0.0625,0.0625
"127",0.0625,0.09375,0.09375,0.03125,0.125,0.28125,0.1875,0.15625,0.28125,0.03125,0.0625,0.0625
"128",0.0625,0.125,0.21875,0.0625,0.15625,0.15625,0.125,0.03125,0.25,0.0625,0.0625,0.09375
"129",0.15625,0.15625,0.125,0.1875,0.09375,0.0625,0.125,0.09375,0.25,0.0625,0.09375,0.09375
"130",0.1875,0.09375,0.125,0.15625,0.1875,0.4375,0.0625,0.0625,0.09375,0.09375,0.125,0.09375
"131",0.03125,0.09375,0.28125,0.21875,0.125,0.0625,0.1875,0.09375,0.3125,0.15625,0.03125,0.1875
"132",0.0625,0.03125,0.0625,0.03125,0.125,0.15625,0.125,0.03125,0.125,0.09375,0.125,0.09375
"133",0.09375,0.125,0.1875,0.03125,0.0625,0.03125,0.125,0.15625,0.125,0.09375,0.03125,0.125
"134",0.1875,0.0625,0.0625,0.0625,0.09375,0.1875,0.25,0.125,0.09375,0.0625,0.0625,0.1875
"135",0.125,0.125,0.09375,0.125,0.03125,0.15625,0.09375,0.09375,0.15625,0.03125,0.125,0.0625
"136",0.125,0.09375,0.09375,0.09375,0.03125,0.03125,0.09375,0.125,0.34375,0.0625,0.09375,0.125
"137",0.0625,0.25,0.125,0.1875,0.125,0.09375,0.0625,0.0625,0.15625,0.0625,0,0.09375
"138",0.0625,0.15625,0.09375,0.1875,0.09375,0.09375,0.125,0.25,0,0.0625,0.03125,0.03125
"139",0.21875,0.1875,0.09375,0.28125,0.09375,0.0625,0.0625,0.125,0.1875,0.03125,0.125,0.0625
"140",0.0625,0.09375,0.125,0.09375,0.125,0.03125,0.09375,0.15625,0.09375,0.09375,0,0.0625
