"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"125",4,4,5,5,8,5,27,10,52,46,34
"126",4,4,4,5,7,5,27,10,40,43,49
"127",4,4,7,5,5,5,24,10,46,40,43
"128",4,5,3,5,7,6,29,13,40,49,28
"129",4,4,5,4,7,5,30,10,52,43,49
"130",4,6,5,5,7,58,22,7,40,34,52
"131",4,5,5,6,7,6,18,4,43,49,49
"132",5,5,7,5,6,7,31,10,43,40,49
"133",4,5,6,5,7,6,31,10,43,46,52
"134",4,6,8,5,10,5,24,10,43,37,52
"135",4,4,5,5,8,5,28,10,46,58,58
"136",4,4,5,5,11,5,29,4,46,55,43
"137",4,4,5,4,7,6,21,13,52,67,64
"138",4,5,7,4,10,6,27,13,37,46,34
"139",4,6,5,4,7,7,22,10,40,28,37
"140",4,4,5,5,6,6,26,13,40,46,55
"141",4,5,5,6,7,6,30,13,43,43,34
"142",5,4,7,7,8,5,33,10,37,43,58
"143",5,4,7,5,10,5,28,7,49,40,61
"144",4,5,5,5,10,2,28,7,43,55,61
"145",4,3,5,5,8,6,21,4,37,43,64
"146",4,4,6,5,9,5,29,10,31,61,43
"147",4,5,6,6,8,6,27,13,55,43,49
"148",4,4,5,6,6,6,30,10,28,46,40
"149",5,4,5,4,7,5,32,13,37,46,43
"150",4,5,6,5,7,5,33,10,37,55,52
"151",2,4,5,6,6,6,28,10,37,52,43
"152",4,3,4,5,9,4,30,13,46,55,43
"153",4,4,4,6,8,5,29,10,43,55,52
"154",4,5,4,6,7,6,29,7,52,46,52
"155",5,4,7,5,6,4,28,10,46,46,58
"156",3,4,7,5,8,6,24,7,43,40,43
"157",4,4,5,5,8,5,26,7,37,55,49
"158",8,6,6,6,6,8,23,13,40,46,58
"159",3,4,2,5,5,5,22,7,37,46,52
"160",4,4,9,6,8,6,32,4,43,46,37
"161",4,5,6,5,12,5,30,10,40,43,40
"162",2,4,6,5,9,5,31,7,34,43,43
"163",6,5,4,6,6,6,30,10,31,34,34
"164",5,4,6,6,7,5,24,10,40,52,52
"165",5,4,6,5,7,5,25,10,49,40,49
"166",2,5,4,5,11,5,21,10,43,46,52
"167",4,4,5,6,5,15,27,7,34,31,46
"168",4,4,6,5,6,5,30,10,46,34,52
"169",4,4,5,5,6,4,27,13,52,46,43
"170",4,3,4,5,6,5,21,13,40,49,49
"171",4,4,4,7,6,5,31,7,52,52,52
"172",4,4,7,5,7,5,25,10,49,37,49
"173",3,6,5,5,11,5,31,7,43,31,70
"174",4,4,7,5,4,5,28,10,46,40,52
"175",4,5,7,5,8,5,18,10,43,40,55
"176",4,6,3,5,7,6,25,10,37,55,52
"177",2,5,7,5,7,2,27,7,46,46,52
"178",4,4,7,6,9,6,12,10,34,49,70
"179",2,4,4,5,8,4,23,10,31,37,58
"180",3,5,6,6,6,7,34,10,46,49,46
"181",4,4,7,6,10,6,29,10,46,37,46
"182",4,6,6,5,13,6,30,10,37,55,49
"183",4,4,6,5,6,4,34,7,40,58,37
"184",4,5,5,5,7,5,27,13,49,49,64
"185",2,6,8,5,12,6,25,10,34,52,40
"186",2,5,4,4,8,4,29,7,40,46,52
"187",4,4,5,5,6,6,29,10,34,34,40
"188",4,5,7,6,6,5,31,10,31,46,52
"189",4,5,6,5,9,5,22,7,40,52,52
"190",4,4,5,4,6,5,30,13,40,49,46
"191",5,5,7,5,7,5,23,13,40,46,58
"192",4,4,6,4,5,5,25,10,49,40,37
"193",4,4,5,5,6,5,31,10,31,58,40
"194",4,5,7,3,6,7,27,10,40,58,58
"195",2,6,4,4,11,5,35,10,43,43,43
"196",4,5,5,5,21,4,32,7,49,49,46
"197",4,5,5,5,6,6,30,13,49,49,61
"198",6,4,5,5,7,5,30,7,37,49,52
"199",4,4,4,6,8,6,31,10,34,40,46
"200",4,5,4,6,10,6,30,10,46,49,64
