"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"125",6,5,5,8,12,6,37,23,73,63,62
"126",20,7,3,4,4,7,37,20,51,68,75
"127",18,5,3,5,14,6,32,23,61,71,45
"128",4,6,3,5,9,11,26,19,47,63,74
"129",10,6,3,6,5,9,22,22,69,49,51
"130",11,4,15,7,9,8,45,19,64,46,70
"131",1,3,3,5,10,14,25,19,63,46,40
"132",9,6,3,5,10,6,34,22,69,67,45
"133",11,7,3,9,5,8,48,20,65,69,62
"134",2,4,3,6,7,4,51,21,72,48,74
"135",7,7,3,3,9,10,22,19,66,67,44
"136",10,8,3,6,12,30,38,19,45,66,69
"137",1,9,4,4,16,6,33,21,64,62,50
"138",1,6,3,4,10,11,38,11,39,74,61
"139",4,7,3,3,24,5,30,18,45,68,64
"140",14,5,4,8,8,7,27,20,70,55,65
"141",10,6,3,7,11,6,31,6,65,61,72
"142",9,8,6,5,12,9,38,29,41,63,66
"143",4,7,3,6,21,10,36,23,63,59,69
"144",4,6,3,5,9,7,44,21,46,73,67
"145",8,6,3,4,12,8,21,19,72,66,66
"146",3,8,6,6,11,5,24,27,39,70,65
"147",9,9,3,6,24,6,41,6,61,64,67
"148",4,5,5,5,9,27,31,8,47,69,48
"149",8,5,3,5,11,11,29,19,71,48,39
"150",6,4,3,6,9,14,28,22,45,73,68
"151",4,7,3,7,8,7,42,34,67,70,68
"152",10,7,4,8,7,19,24,21,46,64,67
"153",11,5,3,5,7,6,25,22,73,68,71
"154",34,9,6,6,11,11,39,21,62,70,72
"155",4,8,3,10,12,6,33,20,68,55,62
"156",13,5,7,8,11,21,29,20,72,66,71
"157",4,8,3,5,9,7,36,24,50,67,71
"158",11,12,3,7,8,8,40,23,46,70,69
"159",15,4,3,4,8,6,35,22,49,64,58
"160",1,8,3,6,18,22,27,21,73,46,38
"161",3,2,9,4,11,6,15,22,59,76,65
"162",2,8,4,6,11,14,37,22,70,60,70
"163",8,4,6,3,7,5,27,21,69,51,70
"164",4,7,3,5,13,7,32,20,46,49,66
"165",9,9,3,3,18,5,35,19,46,73,64
"166",6,9,3,5,9,6,23,21,41,71,70
"167",7,10,3,5,18,7,42,21,45,45,68
"168",5,6,3,5,7,9,22,28,66,63,60
"169",9,8,5,5,9,8,27,23,65,68,62
"170",4,8,3,5,13,7,32,18,69,46,70
"171",5,6,3,6,10,8,21,21,65,71,67
"172",2,3,3,6,9,6,23,20,58,67,72
"173",1,9,3,4,15,8,39,22,65,71,71
"174",6,6,3,5,7,7,39,26,63,47,63
"175",8,7,3,6,10,30,31,22,62,51,46
"176",13,7,3,9,8,7,41,21,64,72,63
"177",10,4,3,7,16,28,26,26,65,63,71
"178",6,9,15,6,21,6,25,23,56,64,68
"179",2,9,3,7,25,7,40,34,40,70,65
"180",11,7,3,6,12,21,39,21,46,63,68
"181",12,4,3,10,10,12,24,6,48,68,72
"182",25,4,3,4,12,6,21,22,65,72,69
"183",10,9,3,4,9,5,38,20,61,72,70
"184",32,6,6,7,59,17,39,17,63,63,65
"185",12,5,3,6,7,6,31,22,57,65,41
"186",7,5,3,6,8,6,26,24,66,72,65
"187",7,5,3,6,11,14,41,20,64,50,47
"188",17,8,3,8,9,7,40,22,50,64,62
"189",4,5,4,7,20,9,32,22,68,62,68
"190",4,4,5,7,6,8,20,8,61,47,73
"191",4,6,3,9,8,7,35,21,63,69,37
"192",6,5,4,6,13,6,29,19,70,50,63
"193",7,7,7,4,15,16,19,20,64,64,38
"194",5,5,3,7,6,21,44,23,67,63,63
"195",3,5,3,9,10,19,33,8,66,63,66
"196",9,5,3,5,19,11,37,20,66,41,68
"197",3,4,3,7,7,20,26,20,40,35,67
"198",6,4,3,7,10,6,21,22,65,66,48
"199",17,8,3,6,14,9,34,22,50,62,67
"200",1,6,3,5,13,8,37,22,44,70,65
