"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.32","scope.8","cv.glmnet","cv.MCP","cv.MCP.g.8","cv.MCP.g.32","cv.grLasso"
"125",6,10,6,6,5,4,18,20,23,23,23
"126",7,6,14,8,6,4,17,20,20,23,24
"127",6,10,7,6,3,4,18,20,20,23,23
"128",5,10,17,8,4,4,21,20,20,23,23
"129",6,10,8,7,3,4,20,20,24,23,23
"130",7,11,17,8,3,4,22,20,20,21,23
"131",7,11,18,7,3,4,21,20,23,23,23
"132",5,9,9,8,4,4,22,20,20,24,23
"133",6,9,7,7,3,4,19,20,21,23,23
"134",6,8,8,9,2,4,22,20,23,23,24
"135",5,10,20,7,5,4,22,20,20,23,21
"136",6,11,9,8,3,4,19,20,20,23,24
"137",6,13,8,8,6,5,19,20,20,23,24
"138",6,9,11,7,3,4,20,23,20,23,21
"139",6,6,7,6,3,4,21,20,23,23,24
"140",6,11,20,8,3,4,21,20,21,23,23
"141",6,9,8,8,3,5,22,20,20,24,23
"142",6,10,14,7,3,5,17,20,21,24,24
"143",6,9,11,7,3,4,20,20,20,23,23
"144",6,18,7,8,3,4,23,20,20,20,23
"145",5,10,10,8,3,4,15,20,20,23,23
"146",6,6,18,7,3,4,18,20,21,20,23
"147",6,9,8,7,4,4,18,20,23,20,23
"148",6,7,7,8,3,5,21,20,20,23,24
"149",6,10,20,7,3,4,21,20,20,20,23
"150",7,10,17,7,3,4,22,23,20,23,23
"151",7,9,14,8,3,4,18,20,23,20,23
"152",6,8,16,9,3,4,19,20,23,20,24
"153",5,6,10,8,3,4,16,20,20,23,23
"154",5,9,8,7,4,4,21,20,20,20,24
"155",6,11,7,8,8,4,22,20,21,24,24
"156",6,10,9,8,3,4,19,20,23,23,24
"157",6,12,6,6,3,4,20,20,20,23,23
"158",5,11,13,8,4,4,19,20,23,23,23
"159",6,11,16,7,5,4,22,20,20,23,24
"160",7,8,10,8,3,4,19,20,23,23,23
"161",8,9,8,8,3,4,18,20,20,23,24
"162",5,7,6,8,4,4,15,20,23,20,23
"163",6,9,10,8,5,4,23,20,23,20,24
"164",5,10,6,7,3,4,16,20,21,24,23
"165",6,10,15,7,4,2,19,20,20,20,23
"166",6,10,18,8,3,4,20,20,20,23,23
"167",5,10,17,8,3,4,21,20,20,23,23
"168",6,11,13,7,9,4,22,20,20,23,23
"169",5,11,8,7,3,6,20,20,20,23,23
"170",6,14,15,8,8,4,21,20,20,23,23
"171",6,9,18,7,3,4,21,20,20,20,23
"172",5,9,8,7,6,4,20,23,20,20,23
"173",6,11,19,8,3,4,19,20,20,23,24
"174",6,8,8,8,3,5,17,23,20,20,20
"175",5,9,8,7,4,4,22,20,20,20,20
"176",6,6,8,7,3,4,19,20,21,21,24
"177",5,11,10,8,4,4,19,20,21,20,24
"178",6,7,16,7,3,4,21,20,21,23,23
"179",6,11,8,8,3,4,19,23,20,20,21
"180",6,10,12,8,2,4,19,20,20,20,23
"181",7,8,7,8,3,4,18,20,20,20,23
"182",8,10,20,9,4,4,20,20,20,21,23
"183",6,9,11,8,5,4,17,20,21,23,21
"184",5,11,7,7,7,5,22,20,20,23,20
"185",6,9,11,8,4,4,20,20,23,23,23
"186",6,6,13,6,3,4,19,20,21,20,23
"187",5,14,8,9,3,4,20,21,20,20,24
